run_id,particle,energy_keV,x,y,z,pitch_deg,phi_deg,steps,dt,method,energy_mean_err,energy_max_err,energy_rms_err,mu_mean_err,mu_max_err,mu_rms_err
20250714_052151,proton,10000.0,5.0,0.0,0.0,90.0,90.0,1000000,12.1,RK4,0.010932548110402554,0.010987179010584481,0.01093259361788455,0.005499017917789023,0.01095657869715574,0.006698105511308987
20250714_052151,proton,10000.0,5.0,0.0,0.0,90.0,90.0,1000000,12.1,RKG,1.6833401088159688e-07,1.9600776558242386e-07,1.686569192592141e-07,0.005493533809211517,0.010991449360852936,0.0067301308505486115
20250714_052151,proton,10000.0,5.0,0.0,0.0,90.0,90.0,1000000,12.1,PS,1.3116368674676943e-13,1.352336549807648e-13,1.311732234141985e-13,0.0054936835831650216,0.010991617152494535,0.006730266448508694
20250714_052151,proton,10000.0,5.0,0.0,0.0,90.0,90.0,1000000,12.1,RK45,-0.08366435386250219,0.08418540238752137,0.08366489411218565,0.07863176447617806,0.08396898555936574,0.0787062600053607
20250714_053444,proton,10000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,RK4,0.10409969145968764,0.10459447525030893,0.10410008356560843,0.09917308970385058,0.10433102055700388,0.0992282421946913
20250714_053444,proton,10000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,RKG,1.1341561531767088e-06,1.2604226848340085e-06,1.1350210706472523e-06,0.005502586415181704,0.010992872626606028,0.006736574012014996
20250714_053444,proton,10000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,PS,1.6610741699028992e-12,1.6744185610321375e-12,1.6610838883763854e-12,0.0055014104952715755,0.010991617604347175,0.006735589963607929
20250714_053444,proton,10000.0,5.0,0.0,0.0,90.0,90.0,10000000,12.1,RK45,-0.7419079101194257,0.7443903527861168,0.7419093031582699,0.740492166628747,0.7436973208333544,0.7404937533541797
20250714_154219,proton,10000.0,5.0,0.0,0.0,30.0,90.0,10000000,12.1,RK4,2808449.5691061644,2808449.569106165,2808449.569106166,7.264820876094379e+25,7.37853239100237e+25,7.265115472227991e+25
20250714_154219,proton,10000.0,5.0,0.0,0.0,30.0,90.0,10000000,12.1,RKG,6.811133681186751e-06,2.9436515641460764e-05,1.1383656930391323e-05,0.01919716583563263,0.038521001237955245,0.020329795141626122
